accession	project	bases	gc	ags	country	div	arg_copies	cpg
SRR16329127	PRJNA763692	11031.989248	2938.125	3.7547719201871943	CN	3.596886184774119	13146.601	4.474486619868113
SRR16329128	PRJNA763692	7729.443127	2165.5	3.5693572509812976	CN	3.0187062180680693	7763.969	3.585300854306165
SRR16329129	PRJNA763692	6180.992237	1658.375	3.7271378530187684	CN	3.957336738275939	5502.878	3.3182350192206225
SRR16329130	PRJNA763692	7837.084377	2228.0	3.5175423595152604	CN	4.050707637874496	10631.151	4.771611759425493
SRR16329131	PRJNA763692	12859.138998	4036.25	3.185912418209972	CN	3.9508804781898346	17211.744	4.264290864044596
SRR16329132	PRJNA763692	18260.630561	4560.0	4.004524245833334	CN	4.027880589913217	18910.957	4.1471396929824555
SRR16329133	PRJNA763692	13522.012823	3871.25	3.492931952986761	CN	4.397667526446405	11348.951	2.9315985792702612
SRR16329134	PRJNA763692	13504.017971	3759.25	3.592210672607568	CN	1.7060770722367984	20134.857	5.356083527299329
SRR16329135	PRJNA763692	12103.355797	2913.75	4.153875863406263	CN	3.262923307879676	18053.816	6.196075847275847
SRR16329136	PRJNA763692	9048.961271	2902.0	3.1181810031013093	CN	3.476062120183091	13068.71	4.503345968297725
SRR16329144	PRJNA763692	15479.458788	3979.125	3.8901665034398265	CN	3.364684357371598	15821.941	3.976236232840135
SRR16329155	PRJNA763692	8253.383329	2083.375	3.9615447670246597	CN	2.461448593862087	8324.114	3.9954948101037977
SRR16329166	PRJNA763692	7525.164328	1727.5	4.356100913458755	CN	3.1783478565208556	9149.391	5.296318958031837
SRR16329167	PRJNA763692	7294.089734	2132.25	3.420841708992848	CN	3.927996187437625	7193.886	3.373847344354555
SRR16329168	PRJNA763692	11925.336194	3354.5	3.555026440304069	CN	3.795044465221432	11200.941	3.339079147413922
SRR18490949	PRJNA820119	2290.587932	676.5	3.385939293422025	CN	3.603368261553524	3176.1530000000002	4.694978566149298
SRR18490954	PRJNA820119	2908.536502	822.875	3.534603070940301	CN	4.393190307353054	4322.87	5.253373841713504
SRR18490957	PRJNA820119	3654.151043	782.5	4.669841588498402	CN	2.4561601902011874	5563.009	7.109276677316294
SRR18490958	PRJNA820119	3078.059318	804.625	3.825458217181917	CN	3.5482020011306283	2949.018	3.6650837346590026
SRR18490959	PRJNA820119	3277.854981	876.125	3.741309722927664	CN	3.0349556675295246	2690.887	3.0713505492937654
SRR18490960	PRJNA820119	5506.704226	1302.75	4.226984629437728	CN	2.7292240881896954	19606.146	15.049814622913068
SRR18490961	PRJNA820119	4591.771328	1271.625	3.61094766774796	CN	3.983306068438185	6664.257	5.240740784429372
SRR18490962	PRJNA820119	4484.421161	1399.625	3.2040161907653837	CN	4.503424193357094	5973.75	4.268107528802358
SRR18490963	PRJNA820119	5035.65864	1032.75	4.875970602759622	CN	2.8086347252474058	5297.876	5.1298726700556765
SRR18490964	PRJNA820119	4863.574425	1601.0	3.037835368519675	CN	4.8470112011558815	6416.559	4.007844472204872
SRR18490965	PRJNA820119	5242.978802	1554.375	3.3730462739043023	CN	4.86607804488441	12306.658	7.91743176517893
SRR18490966	PRJNA820119	5895.349575	1958.25	3.010519379548066	CN	3.6101344784959815	4585.711	2.341739308055662
SRR18490968	PRJNA820119	3190.212039	860.875	3.70577846841876	CN	4.149695412999047	3186.523	3.701493248148686
SRR18490969	PRJNA820119	3839.564834	1062.375	3.6141332712083774	CN	3.35572115353855	4564.42	4.296430168255089
SRR18490970	PRJNA820119	3959.864825	1165.75	3.396838794767317	CN	3.6395095841400655	3601.458	3.0893913789405962
SRR18490971	PRJNA820119	3411.558908	935.375	3.647263298677001	CN	4.203983231091408	2850.41	3.047344647868502
SRR18490972	PRJNA820119	2814.862341	954.5	2.949043835515977	CN	3.3394103873928267	8976.818	9.40473336825563
SRR18490973	PRJNA820119	3236.059477	918.5	3.523200301578661	CN	3.626452090133719	2975.328	3.2393336962438757
SRR18490974	PRJNA820119	3352.509558	931.75	3.598078409444594	CN	4.262190889773571	2683.491	2.880054735712369
SRR18490975	PRJNA820119	2654.407632	671.125	3.9551613067610356	CN	3.2665556903681856	3189.25	4.752095362264853
SRR18490976	PRJNA820119	2651.887734	784.0	3.382509864795918	CN	4.173581603512889	3008.494	3.8373647959183677
SRR18490977	PRJNA820119	1234.225614	376.875	3.2748938348258707	CN	4.216465416285692	1041.226	2.76278872305141
SRR18490979	PRJNA820119	3474.860947	1060.5	3.2766251268269686	CN	3.6917808137289443	4631.677	4.367446487505893
SRR18490980	PRJNA820119	2511.67867	720.875	3.4842083162822957	CN	3.1391937014637716	3593.357	4.984715796774753
SRR18491016	PRJNA820119	2733.483679	715.375	3.821050049274856	CN	3.5273360155247695	3960.42	5.536145378298095
SRR18491027	PRJNA820119	4053.527322	1113.375	3.6407565483327717	CN	3.8371810945972142	3908.902	3.5108584259571125
SRR18491065	PRJNA820119	2814.017014	739.75	3.8040108333896585	CN	3.367921965925333	2386.047	3.225477526191281
SRR18491066	PRJNA820119	2984.138835	726.5	4.107555175498968	CN	3.2765122181994806	2369.675	3.2617687543014457
SRR18491068	PRJNA820119	3963.344446	1277.625	3.1021187328050095	CN	3.7600723894881334	3853.109	3.0158371979258387
SRR18491069	PRJNA820119	5506.575244	1673.125	3.291191778259245	CN	4.3948363614672195	6916.827	4.134076652969743
SRR18491070	PRJNA820119	2963.008437	1102.875	2.686622180210813	CN	4.057771439467974	4458.386	4.042512524084779
SRR18491071	PRJNA820119	6978.187334	1866.25	3.739149274748828	CN	4.001667381548928	8089.151	4.334441259209645
SRR18491072	PRJNA820119	4013.387079	1315.0	3.052005383269962	CN	4.299677562482309	8284.963	6.300352091254752
SRR18491073	PRJNA820119	3719.29955	973.75	3.819563080872914	CN	3.9997477953676137	4252.388	4.367022336328627
SRR18491074	PRJNA820119	2003.150594	479.75	4.1754050943199585	CN	3.4160016603787353	2112.914	4.404198019801981
SRR18491075	PRJNA820119	2819.071145	790.125	3.5678799493750986	CN	3.755115361020092	3544.262	4.485697832621421
SRR18491076	PRJNA820119	2803.671401	823.875	3.4030300725231375	CN	4.519951807758215	2930.747	3.557271430738886
SRR18491077	PRJNA820119	4643.251762	1553.875	2.9881758584184697	CN	4.241931117370624	5881.365	3.7849666157187674
SRR18491079	PRJNA820119	3090.909027	912.5	3.3872975638356166	CN	3.4915402058250535	5049.106	5.533266849315068
SRR18491080	PRJNA820119	1067.034013	290.5	3.673094709122203	CN	4.263645613027996	2792.493	9.61271256454389
SRR18491081	PRJNA820119	4139.58445	1285.0	3.221466498054475	CN	4.721749381973929	10218.009	7.951757976653696
SRR18491082	PRJNA820119	2981.292139	847.5	3.5177488365781713	CN	3.8611049925880225	3113.649	3.673922123893805
SRR18491083	PRJNA820119	6608.388774	1947.25	3.393703311850045	CN	3.9825532942381665	10680.048	5.484682500962896
SRR18491084	PRJNA820119	4132.158698	1174.5	3.5182279250745	CN	4.098079071925974	5018.235	4.272656449553001
SRR18491085	PRJNA820119	3349.217685	862.125	3.88484	CN	2.88294892526182	3449.741	4.0014394664346815
SRR18491086	PRJNA820119	2246.50447	432.375	5.195731644984099	CN	2.8041301858788703	2481.89	5.740132986412258
SRR18491087	PRJNA820119	2678.820587	692.625	3.8676348485832883	CN	4.168230700692484	2139.666	3.0892127774769897
SRR18491088	PRJNA820119	4553.36976	1283.625	3.547274133800759	CN	4.135274778504338	5574.731	4.342959197584964
SRR18491090	PRJNA820119	5913.616541	1953.125	3.027771668992	CN	4.316802420039638	9928.126	5.083200512
